tenure_months,monthly_charges,contract_type,internet_service,support_tickets_6m,payment_method,churn
65,77.14427110689596,Month-to-month,Fiber optic,3,Electronic check,0
71,,Two year,Fiber optic,1,Mailed check,0
9,34.03014863304612,Two year,DSL,1,Bank transfer,0
49,29.28580435449114,Month-to-month,DSL,1,Electronic check,0
24,43.61732070264178,Month-to-month,None,0,Bank transfer,0
12,38.242985268762276,Month-to-month,DSL,2,Bank transfer,0
29,95.81674981243057,Month-to-month,Fiber optic,1,Credit card,1
19,56.50559209555589,Two year,Fiber optic,1,Bank transfer,0
25,73.80385625687147,Two year,Fiber optic,1,Mailed check,1
52,100.96622955976216,Month-to-month,None,1,Bank transfer,0
10,81.72223965539078,Two year,DSL,0,Credit card,0
61,16.454401037012065,Month-to-month,DSL,0,Electronic check,0
58,26.785476621040406,One year,Fiber optic,2,Credit card,0
23,26.334676656767073,Two year,DSL,0,Electronic check,1
46,38.961949877562674,One year,DSL,0,Credit card,0
17,49.91144948820956,Month-to-month,DSL,5,Credit card,0
25,74.66232941954982,Two year,DSL,1,Bank transfer,0
50,128.28105494456838,One year,DSL,0,Mailed check,0
48,83.56718678629743,Month-to-month,DSL,2,Electronic check,0
65,63.36962923721504,Two year,Fiber optic,3,Credit card,0
48,53.1704518530482,Month-to-month,Fiber optic,2,Mailed check,0
68,38.001495660443744,Month-to-month,DSL,2,Electronic check,0
39,102.42425516922995,Month-to-month,Fiber optic,2,Mailed check,0
16,68.10085900601553,Month-to-month,None,1,Electronic check,0
35,32.610293209548416,Month-to-month,Fiber optic,1,Credit card,0
3,56.561557893200984,Month-to-month,None,0,Bank transfer,0
25,103.7788848923763,Two year,None,2,Electronic check,1
6,58.127872317970436,Month-to-month,None,2,Bank transfer,0
30,20.32525984963865,Month-to-month,DSL,1,Bank transfer,0
25,62.28022908846909,Month-to-month,DSL,2,Mailed check,0
69,71.7084358475053,Two year,DSL,2,Mailed check,0
30,,Month-to-month,Fiber optic,5,Mailed check,0
53,15.682398874604903,Month-to-month,DSL,1,Bank transfer,0
8,65.98174717427189,Month-to-month,None,1,Bank transfer,0
70,132.92969328283476,Two year,None,1,Mailed check,0
13,62.655551701969905,One year,Fiber optic,2,Bank transfer,1
33,55.75325435989068,Month-to-month,Fiber optic,2,Bank transfer,0
0,27.144429604593416,Month-to-month,DSL,1,Bank transfer,1
43,131.11390950332944,Month-to-month,Fiber optic,1,Credit card,0
15,31.865178283749692,Month-to-month,Fiber optic,0,Electronic check,1
56,31.24402200504473,Month-to-month,DSL,1,Mailed check,0
34,71.63966666083168,Month-to-month,Fiber optic,0,Electronic check,0
52,33.63506160044834,One year,None,1,Bank transfer,1
22,,Month-to-month,Fiber optic,1,Electronic check,0
46,87.324853832941,Two year,Fiber optic,1,Bank transfer,1
1,70.05900448105014,One year,DSL,0,Electronic check,1
71,82.91545618814179,One year,None,1,Credit card,0
51,40.48966524435992,One year,DSL,1,Credit card,1
42,127.18469145924496,One year,DSL,0,Mailed check,0
33,,Month-to-month,Fiber optic,2,Credit card,0
18,15.882601328803647,One year,DSL,1,Electronic check,0
14,51.97086989805776,Two year,DSL,2,Bank transfer,0
50,85.19384891374955,Two year,Fiber optic,0,Electronic check,1
67,85.99390589298471,One year,None,0,Mailed check,0
18,44.43460688810269,Two year,Fiber optic,1,Electronic check,0
22,153.62361259496126,Two year,Fiber optic,0,Electronic check,1
39,69.12351131398938,Month-to-month,DSL,2,Bank transfer,1
49,20.20939676435888,Month-to-month,DSL,0,Credit card,0
5,43.90890521876453,Month-to-month,None,1,Credit card,0
33,48.37380776901666,Two year,DSL,3,Electronic check,1
43,,Month-to-month,None,1,Mailed check,0
46,37.91220432875051,Month-to-month,Fiber optic,0,Mailed check,1
21,78.9638889623744,Two year,DSL,0,Electronic check,1
68,15.939717530444657,Month-to-month,None,0,Credit card,1
26,33.01767494109336,One year,DSL,3,Mailed check,1
30,31.003972341058127,Month-to-month,None,2,Bank transfer,1
12,69.23976962951328,Month-to-month,DSL,0,Credit card,0
29,41.657831064265835,Month-to-month,DSL,1,Bank transfer,1
63,53.99440789233052,Month-to-month,None,1,Mailed check,0
61,62.9203008203032,Month-to-month,Fiber optic,1,Credit card,0
35,33.13884394611252,Month-to-month,DSL,2,Bank transfer,0
65,42.25896486701586,Two year,Fiber optic,1,Credit card,0
46,40.53098124648337,Month-to-month,DSL,3,Electronic check,0
8,29.161071671303628,Month-to-month,Fiber optic,0,Credit card,0
4,34.19679948166071,Two year,Fiber optic,1,Electronic check,1
43,22.239206462594673,Month-to-month,None,1,Bank transfer,0
62,42.74951943925328,One year,Fiber optic,0,Electronic check,1
26,22.976346602421238,Month-to-month,Fiber optic,1,Electronic check,0
24,17.00855430813416,Month-to-month,DSL,0,Mailed check,0
28,82.61767031743113,Month-to-month,DSL,1,Electronic check,0
61,42.49708531700395,Two year,Fiber optic,2,Bank transfer,0
12,40.07377042527179,One year,Fiber optic,4,Mailed check,1
60,27.63352748505354,Two year,Fiber optic,1,Credit card,0
63,,Month-to-month,DSL,0,Electronic check,1
58,31.890731142773497,Two year,Fiber optic,8,Mailed check,1
59,81.29694501353042,Two year,DSL,1,Bank transfer,0
47,66.05564036626006,Two year,Fiber optic,0,Electronic check,0
8,43.04638304074273,Month-to-month,Fiber optic,5,Bank transfer,0
39,111.07543109869776,One year,Fiber optic,8,Electronic check,0
31,41.105694064288315,Month-to-month,None,0,Bank transfer,0
19,54.294807302465344,Month-to-month,None,3,Credit card,1
63,110.54408161581263,One year,DSL,0,Mailed check,0
21,81.4338743082427,Month-to-month,DSL,2,Electronic check,1
3,68.31408057813157,Month-to-month,Fiber optic,2,Mailed check,0
54,79.60309935774715,Month-to-month,None,3,Credit card,0
15,50.862661925849864,Month-to-month,DSL,1,Mailed check,1
66,123.7974318936187,Month-to-month,Fiber optic,0,Bank transfer,0
0,65.22796273294642,Month-to-month,DSL,2,Mailed check,0
66,94.1605714951771,Month-to-month,DSL,9,Mailed check,0
21,49.12462428273378,Month-to-month,None,2,Bank transfer,0
41,61.37112940097671,Month-to-month,DSL,1,Credit card,0
18,79.14086365169446,Month-to-month,Fiber optic,2,Electronic check,0
12,25.074979416453942,Month-to-month,None,0,Bank transfer,0
3,86.41159221450434,One year,Fiber optic,2,Mailed check,0
56,,One year,DSL,0,Mailed check,0
30,26.47914468073667,One year,Fiber optic,0,Electronic check,0
71,,Month-to-month,Fiber optic,2,Electronic check,0
3,31.484312215236066,Month-to-month,Fiber optic,0,Mailed check,0
46,39.42649722411267,Two year,DSL,0,Mailed check,0
14,20.58873580902179,Month-to-month,Fiber optic,2,Mailed check,0
17,97.68048048584399,One year,Fiber optic,2,Mailed check,0
60,30.665250642279386,Two year,Fiber optic,2,Bank transfer,0
16,39.73659860103862,Month-to-month,None,0,Mailed check,1
27,24.154555518174256,Month-to-month,DSL,3,Mailed check,0
66,24.021390028368497,One year,DSL,1,Mailed check,1
15,82.40470400583492,Two year,DSL,0,Bank transfer,0
70,112.77220756768737,Month-to-month,DSL,2,Bank transfer,0
40,10.480754616199226,Month-to-month,DSL,0,Bank transfer,1
17,41.729927045450026,Month-to-month,DSL,2,Bank transfer,0
15,68.24323818848727,Month-to-month,None,0,Electronic check,1
61,33.80047051025757,Two year,DSL,0,Credit card,1
51,41.65626185514983,Two year,None,2,Electronic check,0
48,36.70944491208717,Month-to-month,Fiber optic,2,Mailed check,0
70,61.20698626525461,Two year,Fiber optic,3,Electronic check,1
43,36.9381258605261,Two year,Fiber optic,0,Bank transfer,0
36,60.180721657231516,One year,DSL,3,Bank transfer,0
47,51.93902215472144,Two year,DSL,2,Bank transfer,1
23,119.9541430851667,Month-to-month,Fiber optic,3,Mailed check,0
26,15.273787460217317,Month-to-month,None,1,Bank transfer,0
63,,Month-to-month,DSL,1,Electronic check,0
61,38.58664351900926,Month-to-month,Fiber optic,0,Mailed check,0
65,22.580934356450612,Two year,DSL,0,Credit card,0
39,26.238945334608438,Two year,Fiber optic,1,Mailed check,0
59,79.7487619425008,Month-to-month,Fiber optic,2,Electronic check,0
1,95.28475266264526,Two year,Fiber optic,1,Mailed check,0
24,135.78360971885047,Month-to-month,DSL,0,Bank transfer,0
47,52.55423843448477,Month-to-month,DSL,1,Bank transfer,0
40,38.54118491314007,One year,DSL,4,Mailed check,0
69,66.19768234121565,One year,Fiber optic,3,Mailed check,0
59,57.52811257579955,Two year,DSL,1,Credit card,0
43,29.980335367104228,Month-to-month,Fiber optic,2,Mailed check,0
56,32.98387709856888,Month-to-month,DSL,3,Bank transfer,1
21,74.770228655207,Month-to-month,DSL,1,Credit card,0
64,58.45166979460325,Month-to-month,DSL,2,Electronic check,0
9,26.93570747895102,One year,Fiber optic,1,Mailed check,1
43,78.14756310011656,Month-to-month,DSL,0,Bank transfer,0
45,64.9034201033923,Month-to-month,DSL,1,Credit card,0
4,40.01904930361715,Month-to-month,DSL,2,Bank transfer,0
22,72.04368282404528,Month-to-month,Fiber optic,0,Electronic check,0
44,51.72065661478362,One year,Fiber optic,1,Bank transfer,1
47,40.64114315304476,Month-to-month,None,0,Electronic check,0
19,69.68904886083273,Month-to-month,DSL,5,Electronic check,0
29,107.13678181446187,Two year,DSL,1,Mailed check,0
67,31.376880013124232,Month-to-month,Fiber optic,9,Credit card,0
4,,Month-to-month,Fiber optic,1,Bank transfer,1
56,64.67714197587566,Month-to-month,DSL,0,Electronic check,0
49,30.98107824820811,Two year,DSL,1,Credit card,0
8,88.9630016418553,Two year,Fiber optic,1,Electronic check,0
47,27.2547679268856,One year,Fiber optic,0,Electronic check,0
33,72.77050495302728,Month-to-month,Fiber optic,0,Electronic check,0
50,59.074326348333415,Month-to-month,None,2,Mailed check,0
55,18.639629866408566,Month-to-month,DSL,1,Mailed check,0
61,12.014154516328366,Month-to-month,DSL,1,Bank transfer,0
60,123.79002765000077,Month-to-month,DSL,2,Mailed check,0
51,22.88311895797614,Month-to-month,DSL,2,Mailed check,0
7,45.7077541743293,Month-to-month,None,3,Electronic check,0
22,21.857132106606784,Month-to-month,Fiber optic,1,Mailed check,1
65,60.028676602853835,Two year,DSL,10,Electronic check,0
19,52.719136810019705,Month-to-month,Fiber optic,1,Bank transfer,0
1,64.44842963069685,Month-to-month,None,0,Credit card,0
41,,Month-to-month,Fiber optic,0,Electronic check,1
41,12.264904891895153,Two year,DSL,1,Bank transfer,0
39,86.60866952800697,Month-to-month,None,1,Bank transfer,0
31,34.337792274289434,Month-to-month,Fiber optic,0,Bank transfer,1
43,48.140555415226665,Month-to-month,DSL,1,Credit card,0
40,48.33124576825646,One year,Fiber optic,2,Electronic check,0
56,45.04464324843796,Month-to-month,Fiber optic,3,Electronic check,1
55,56.402802976206374,Month-to-month,Fiber optic,2,Electronic check,0
61,113.13166073343709,Two year,DSL,1,Electronic check,0
24,48.30031302079069,Month-to-month,Fiber optic,2,Mailed check,0
71,53.16681871387285,Month-to-month,DSL,0,Bank transfer,0
70,36.950298788151734,Month-to-month,Fiber optic,2,Electronic check,1
62,14.766018384562361,Two year,DSL,1,Mailed check,0
54,94.05072850141738,Month-to-month,DSL,0,Mailed check,0
27,119.62312308224818,Month-to-month,DSL,2,Electronic check,0
2,23.86967807057324,One year,Fiber optic,1,Credit card,0
11,86.05390719416141,Month-to-month,Fiber optic,0,Bank transfer,1
41,103.84304028354114,Month-to-month,DSL,2,Credit card,0
9,119.83289413236136,One year,DSL,1,Electronic check,0
45,65.61308618863936,Month-to-month,Fiber optic,2,Mailed check,0
14,77.6098390651434,Two year,None,1,Mailed check,1
52,46.07079599571348,Month-to-month,None,9,Bank transfer,0
14,,Month-to-month,DSL,0,Mailed check,0
8,22.539952264065285,One year,DSL,2,Mailed check,1
36,43.499964679871034,Month-to-month,DSL,0,Credit card,0
58,126.95135905286179,Month-to-month,Fiber optic,0,Mailed check,0
33,50.86879141148537,One year,Fiber optic,0,Credit card,0
31,36.53769087931523,Month-to-month,Fiber optic,1,Bank transfer,1
65,130.72087485737416,Month-to-month,Fiber optic,2,Mailed check,0
19,51.64002058665395,One year,None,1,Electronic check,0
14,96.59014980918573,Two year,DSL,3,Bank transfer,0
19,36.927709593757825,Two year,Fiber optic,1,Bank transfer,0
51,160.56277566912595,Month-to-month,DSL,1,Electronic check,0
13,34.20050888497571,Month-to-month,Fiber optic,2,Credit card,0
12,136.32612686745952,Month-to-month,DSL,0,Electronic check,0
21,35.132167427119334,One year,DSL,2,Mailed check,1
42,103.64789610392174,Month-to-month,DSL,2,Electronic check,1
38,44.376260454945914,Month-to-month,Fiber optic,2,Credit card,1
57,45.524693345741184,One year,Fiber optic,1,Mailed check,0
41,122.53023833230819,Month-to-month,Fiber optic,1,Credit card,0
68,60.693599919226024,Two year,DSL,0,Credit card,0
44,83.52230459329544,Month-to-month,Fiber optic,2,Electronic check,0
55,118.09490126712502,One year,Fiber optic,1,Electronic check,1
65,58.55095735474753,Month-to-month,DSL,2,Mailed check,0
65,53.80368883116547,One year,Fiber optic,8,Electronic check,0
12,53.41417376215067,Month-to-month,Fiber optic,2,Credit card,0
40,66.8259642250374,Month-to-month,None,1,Bank transfer,0
19,55.81864175790458,One year,None,0,Mailed check,1
5,42.45385871302674,Month-to-month,DSL,0,Credit card,0
54,104.58309599543398,Month-to-month,Fiber optic,2,Bank transfer,0
52,15.450597551192345,Month-to-month,None,2,Mailed check,0
59,53.58950085350363,Month-to-month,DSL,4,Bank transfer,0
35,133.29598318993249,Two year,None,3,Credit card,0
39,77.9795747209042,Month-to-month,Fiber optic,1,Electronic check,1
20,,One year,Fiber optic,1,Credit card,0
5,50.02387660431948,Two year,Fiber optic,1,Credit card,1
34,51.02435465823496,Month-to-month,DSL,1,Mailed check,1
19,15.383310709787544,Two year,DSL,8,Credit card,0
60,150.289313875686,Month-to-month,DSL,0,Credit card,0
50,57.27447414588421,Month-to-month,None,1,Mailed check,0
48,47.2388612475757,Month-to-month,None,2,Electronic check,1
17,55.010544044021096,One year,DSL,1,Credit card,0
32,47.31956824678653,Month-to-month,DSL,2,Bank transfer,0
22,98.66690262202432,One year,DSL,0,Bank transfer,0
57,38.5858098369341,Month-to-month,None,1,Bank transfer,0
44,23.058742388196144,One year,Fiber optic,10,Bank transfer,0
12,99.2437255467908,One year,Fiber optic,2,Mailed check,0
7,61.1665253697561,Two year,Fiber optic,0,Credit card,0
67,59.164415485374846,Month-to-month,Fiber optic,1,Electronic check,0
5,77.71653862905411,Two year,Fiber optic,3,Bank transfer,0
8,50.305171207625676,Month-to-month,Fiber optic,0,Credit card,0
62,28.42620929322331,Two year,DSL,0,Credit card,0
67,55.36634550843104,Month-to-month,DSL,1,Mailed check,0
70,86.04780786329171,Month-to-month,Fiber optic,2,Credit card,0
16,30.1196801667633,Two year,DSL,1,Credit card,1
26,67.58684783327118,Month-to-month,DSL,1,Credit card,1
8,52.78732500578015,Month-to-month,None,3,Mailed check,0
33,30.33406683226525,Month-to-month,DSL,3,Bank transfer,0
42,49.25750236403673,Month-to-month,DSL,1,Electronic check,0
47,44.81404011660296,Two year,Fiber optic,3,Mailed check,0
49,87.69514886818284,Two year,Fiber optic,2,Bank transfer,0
56,126.66856692181975,Month-to-month,None,8,Mailed check,0
53,78.13614546785851,Month-to-month,DSL,1,Bank transfer,0
0,49.45838270117278,Month-to-month,None,1,Credit card,0
47,58.721178817228136,Month-to-month,Fiber optic,0,Bank transfer,1
71,51.934977206897365,Month-to-month,None,2,Bank transfer,0
57,42.06921945816166,Month-to-month,DSL,3,Bank transfer,0
24,63.084441724421644,Month-to-month,Fiber optic,0,Electronic check,0
59,25.87218559457803,One year,Fiber optic,1,Bank transfer,0
26,54.21795101808722,Two year,Fiber optic,2,Credit card,1
70,62.37790957642123,Month-to-month,Fiber optic,0,Credit card,0
29,63.29586644421599,Two year,DSL,1,Bank transfer,0
11,24.93987698950268,One year,DSL,1,Electronic check,0
27,60.13452444087904,Month-to-month,Fiber optic,2,Mailed check,0
30,47.62395219073069,One year,None,1,Mailed check,0
43,89.80973334426798,Month-to-month,Fiber optic,0,Credit card,0
34,84.13109521748216,Month-to-month,Fiber optic,1,Electronic check,1
26,47.929104595619236,Month-to-month,Fiber optic,0,Bank transfer,0
65,69.26784108166449,Two year,Fiber optic,2,Mailed check,1
15,62.254797462087225,Month-to-month,None,0,Mailed check,0
14,43.222510532857534,Month-to-month,Fiber optic,2,Bank transfer,1
35,38.870835832739964,Month-to-month,DSL,0,Bank transfer,0
45,63.2961261836971,Month-to-month,DSL,0,Credit card,1
36,59.84634319750269,One year,DSL,0,Bank transfer,0
0,21.885490575021297,Month-to-month,DSL,2,Electronic check,0
12,81.77705512071425,Month-to-month,Fiber optic,10,Mailed check,0
67,48.81224757371628,Two year,None,1,Electronic check,1
11,37.334773713124044,Two year,DSL,0,Mailed check,0
49,19.612055958427337,Two year,DSL,0,Credit card,0
32,32.547452070057666,Two year,Fiber optic,1,Bank transfer,0
26,100.16294872451257,Month-to-month,Fiber optic,1,Electronic check,0
67,97.43119371864113,Month-to-month,Fiber optic,0,Mailed check,0
20,46.39970030412335,Two year,Fiber optic,0,Bank transfer,0
24,31.00113203814096,Month-to-month,DSL,2,Electronic check,0
39,46.247206630287835,Month-to-month,DSL,4,Mailed check,0
26,65.6990272453599,Month-to-month,DSL,0,Credit card,0
35,17.163050339155646,Month-to-month,Fiber optic,2,Bank transfer,0
51,37.53900676231771,Month-to-month,Fiber optic,0,Mailed check,1
52,,Month-to-month,None,1,Credit card,1
16,90.2637847633976,Month-to-month,Fiber optic,3,Credit card,0
37,74.41296979206452,Month-to-month,DSL,1,Bank transfer,1
3,9.390810780039004,One year,Fiber optic,2,Electronic check,0
30,47.982367892133425,Month-to-month,DSL,1,Mailed check,0
64,32.20264143124526,Month-to-month,Fiber optic,1,Bank transfer,1
8,34.89453385436193,Two year,Fiber optic,1,Mailed check,1
62,83.07470165221815,Month-to-month,DSL,0,Mailed check,0
60,62.99006843552125,Month-to-month,DSL,1,Credit card,1
8,79.95856616705889,One year,Fiber optic,1,Mailed check,1
7,63.102904558348655,One year,Fiber optic,2,Bank transfer,0
44,50.176787693720804,Month-to-month,None,0,Bank transfer,0
39,81.04581524418955,One year,Fiber optic,1,Electronic check,0
61,59.0686413018506,Month-to-month,DSL,0,Credit card,0
70,57.48713450229334,Month-to-month,Fiber optic,3,Credit card,0
17,61.915374775830855,Month-to-month,None,1,Mailed check,0
66,34.73043196399245,One year,None,1,Bank transfer,1
10,47.320033047689584,One year,DSL,1,Bank transfer,0
46,73.89305815824129,Month-to-month,DSL,1,Electronic check,1
21,105.8784187801841,Month-to-month,DSL,1,Electronic check,0
37,57.732520999400606,Two year,None,9,Bank transfer,0
34,93.91101500317414,Month-to-month,Fiber optic,2,Credit card,0
57,38.34473022932569,Month-to-month,Fiber optic,2,Mailed check,1
40,,One year,DSL,0,Credit card,0
50,49.17575820376775,Month-to-month,Fiber optic,1,Electronic check,1
48,52.70353903032729,Month-to-month,DSL,2,Electronic check,0
69,81.27762576694886,Month-to-month,DSL,0,Electronic check,0
0,56.2559725552952,Month-to-month,DSL,0,Bank transfer,1
48,67.99232563364293,Month-to-month,DSL,3,Electronic check,0
59,,Month-to-month,DSL,0,Bank transfer,0
14,30.039714711278048,Month-to-month,Fiber optic,0,Mailed check,0
48,52.85121604675334,One year,Fiber optic,1,Bank transfer,1
7,41.43602010713484,One year,Fiber optic,0,Bank transfer,0
28,59.52178634207902,Month-to-month,Fiber optic,1,Bank transfer,1
28,47.16343057437386,Two year,DSL,1,Bank transfer,0
32,42.49030544583641,One year,DSL,0,Bank transfer,0
8,104.59049142613748,One year,Fiber optic,2,Credit card,1
55,107.97360353715965,Month-to-month,DSL,0,Bank transfer,1
54,103.30444928445651,One year,Fiber optic,2,Electronic check,0
1,16.454894280377744,Month-to-month,DSL,1,Bank transfer,0
55,,Two year,Fiber optic,2,Bank transfer,1
49,82.6625475827201,Two year,Fiber optic,0,Mailed check,1
1,19.618290955711288,One year,Fiber optic,2,Credit card,0
12,46.96607089188586,Month-to-month,None,9,Bank transfer,0
69,,One year,Fiber optic,2,Electronic check,0
22,68.47049825554474,Month-to-month,DSL,0,Electronic check,1
33,54.28635210091319,Two year,None,1,Electronic check,0
9,84.51177443914571,One year,DSL,1,Mailed check,0
16,60.12824124727007,Two year,Fiber optic,2,Mailed check,0
51,98.27202118341762,Two year,DSL,0,Electronic check,0
38,48.5409431089738,Month-to-month,DSL,1,Bank transfer,0
17,47.954756186705524,Month-to-month,Fiber optic,1,Credit card,1
16,76.61426703643608,Month-to-month,None,0,Bank transfer,0
55,24.73181973203038,Month-to-month,None,3,Credit card,0
63,64.78090042416783,One year,Fiber optic,2,Mailed check,0
37,85.87805763302927,One year,Fiber optic,1,Electronic check,0
23,53.808496539668155,Two year,Fiber optic,1,Mailed check,0
65,16.5790349020597,One year,DSL,1,Electronic check,0
5,54.64608706651612,Two year,Fiber optic,0,Electronic check,0
58,68.1863090647301,Month-to-month,DSL,2,Bank transfer,0
32,29.869830310904632,Month-to-month,Fiber optic,1,Mailed check,0
27,49.69223593699,Month-to-month,DSL,0,Credit card,0
40,80.19993757292704,One year,Fiber optic,2,Electronic check,0
59,63.68337591688068,Two year,DSL,2,Mailed check,0
61,133.25962280231766,Two year,Fiber optic,1,Bank transfer,0
11,43.24905259349641,One year,Fiber optic,2,Credit card,0
10,26.216024993842616,One year,DSL,1,Mailed check,0
55,39.882245086421264,Month-to-month,DSL,1,Credit card,1
29,126.70472785597944,One year,DSL,0,Electronic check,1
9,106.14241184420389,One year,None,2,Bank transfer,0
57,77.3134114720543,Month-to-month,DSL,1,Credit card,1
14,,Month-to-month,DSL,1,Credit card,0
7,29.218153398242993,Two year,None,0,Mailed check,0
9,55.32061775552709,Month-to-month,DSL,3,Bank transfer,0
21,48.52447583245089,One year,Fiber optic,0,Mailed check,1
64,124.84313901663809,One year,Fiber optic,2,Bank transfer,1
32,39.01416589026431,Month-to-month,Fiber optic,2,Bank transfer,0
32,36.95454004143743,Two year,None,1,Bank transfer,0
44,34.25340519632942,Two year,Fiber optic,1,Mailed check,1
38,72.5975699382938,Month-to-month,DSL,8,Bank transfer,1
25,73.85170837959562,Month-to-month,DSL,1,Bank transfer,0
40,66.25558896268241,Month-to-month,DSL,1,Electronic check,1
14,39.42645089421211,Month-to-month,Fiber optic,1,Bank transfer,0
70,16.37288188008396,Month-to-month,DSL,1,Mailed check,0
34,73.46073708905085,Two year,Fiber optic,3,Bank transfer,0
52,59.180159372060885,One year,DSL,4,Mailed check,0
23,69.90400229707201,Month-to-month,DSL,2,Bank transfer,0
15,59.984203741592246,Month-to-month,None,1,Credit card,0
25,112.97533152215298,One year,Fiber optic,3,Bank transfer,0
31,81.71649970891026,Month-to-month,Fiber optic,0,Credit card,0
26,94.653564996621,Month-to-month,DSL,0,Mailed check,1
12,79.51995592005166,One year,None,1,Electronic check,0
61,28.593082976611658,Month-to-month,Fiber optic,1,Mailed check,0
62,63.193917638819066,Two year,Fiber optic,3,Credit card,0
34,34.49019236436422,Month-to-month,Fiber optic,2,Bank transfer,1
37,35.92589889566865,Two year,None,0,Credit card,0
42,90.94165189604878,One year,None,0,Bank transfer,1
35,55.69581909472658,Two year,DSL,0,Credit card,0
47,106.8515606813714,Two year,Fiber optic,0,Mailed check,1
4,41.5279583845028,Month-to-month,DSL,3,Electronic check,0
7,100.31141063687753,One year,DSL,2,Bank transfer,0
13,84.47098236940315,Month-to-month,None,1,Mailed check,0
53,42.042441983838664,Month-to-month,None,2,Electronic check,0
38,75.00524539259497,One year,Fiber optic,0,Bank transfer,0
41,59.66962418720521,One year,Fiber optic,0,Mailed check,1
15,50.963700096251344,Month-to-month,Fiber optic,2,Bank transfer,1
2,38.779335952034906,Two year,Fiber optic,3,Credit card,1
1,23.398018806509754,Month-to-month,DSL,2,Electronic check,1
34,84.02686255145248,One year,DSL,1,Mailed check,0
58,28.055856888243337,One year,Fiber optic,2,Bank transfer,0
28,73.60732009155231,Month-to-month,DSL,0,Mailed check,0
27,,Month-to-month,Fiber optic,4,Electronic check,1
38,,Month-to-month,DSL,1,Mailed check,0
30,68.2624455877115,Month-to-month,Fiber optic,0,Bank transfer,0
56,35.30893762996837,One year,None,0,Credit card,0
27,148.60069370051227,Month-to-month,DSL,0,Mailed check,0
54,21.20359742097491,One year,DSL,1,Credit card,0
33,47.808924997120904,Month-to-month,DSL,3,Bank transfer,1
40,116.61092931803476,Month-to-month,Fiber optic,1,Credit card,0
60,28.712206239640068,Month-to-month,Fiber optic,0,Mailed check,0
35,161.46685151555627,Month-to-month,DSL,1,Mailed check,0
30,50.05703859064903,One year,Fiber optic,10,Mailed check,0
63,60.89819409536535,Month-to-month,None,2,Credit card,0
32,76.6500100172277,One year,Fiber optic,1,Credit card,1
39,58.837603314210114,Month-to-month,Fiber optic,1,Bank transfer,0
42,36.826219083842126,Month-to-month,None,1,Mailed check,1
2,41.548410629680106,Two year,None,1,Electronic check,0
68,32.51818185591171,Month-to-month,Fiber optic,1,Mailed check,1
14,54.793107245394815,Month-to-month,Fiber optic,2,Mailed check,0
2,121.61109034469106,Month-to-month,DSL,0,Mailed check,1
32,44.35787505475071,One year,DSL,0,Electronic check,0
11,34.41796324633081,Month-to-month,DSL,2,Credit card,0
1,53.2361131656619,Month-to-month,None,2,Electronic check,0
69,107.51925857513929,Two year,DSL,0,Bank transfer,1
32,21.31865068874833,Month-to-month,Fiber optic,1,Credit card,0
67,52.44175262903036,One year,DSL,1,Mailed check,0
16,57.26588585070195,One year,DSL,3,Electronic check,0
0,12.821738283288566,Two year,None,0,Credit card,0
32,32.33075360742218,One year,Fiber optic,1,Electronic check,0
21,85.13483941573642,Month-to-month,Fiber optic,0,Bank transfer,0
21,31.967749211540685,One year,DSL,1,Bank transfer,0
18,53.99213472533478,Two year,None,1,Credit card,1
17,67.9069194899226,Month-to-month,DSL,1,Credit card,0
20,55.07081881185813,Two year,Fiber optic,2,Electronic check,1
48,44.28396443627296,One year,None,0,Bank transfer,0
30,52.42907507599302,Month-to-month,None,1,Mailed check,0
18,56.587163431236014,Month-to-month,DSL,2,Mailed check,1
27,34.08200305973017,Two year,Fiber optic,0,Electronic check,0
25,67.57098258023004,One year,Fiber optic,3,Mailed check,1
2,115.84162294291502,Month-to-month,DSL,1,Electronic check,0
33,32.48609500921433,One year,Fiber optic,0,Bank transfer,0
9,158.52128591684695,Two year,Fiber optic,1,Credit card,1
46,66.48836735659894,Month-to-month,DSL,11,Mailed check,0
49,53.79177464917201,Two year,Fiber optic,0,Electronic check,0
21,112.26361755551429,Month-to-month,None,0,Credit card,0
7,71.33056443479822,Two year,DSL,1,Mailed check,0
68,19.365936758081347,Month-to-month,DSL,1,Mailed check,0
31,,One year,Fiber optic,0,Credit card,0
59,112.61312051861756,Month-to-month,DSL,3,Mailed check,0
30,88.90869725293044,Month-to-month,None,0,Electronic check,1
34,48.577217634686285,Month-to-month,DSL,1,Bank transfer,0
3,23.400785470954624,Month-to-month,Fiber optic,2,Mailed check,0
51,20.21932800963016,Two year,Fiber optic,0,Bank transfer,1
11,24.199119861513402,Month-to-month,Fiber optic,2,Bank transfer,0
58,60.74458338189472,One year,DSL,1,Credit card,1
22,53.67315883384041,One year,DSL,1,Bank transfer,0
32,,One year,Fiber optic,1,Credit card,0
68,28.874146770407975,Month-to-month,None,0,Electronic check,0
64,67.55974441529665,Month-to-month,Fiber optic,2,Credit card,1
3,29.854365821211754,Month-to-month,None,1,Mailed check,0
41,23.202565902981007,Month-to-month,Fiber optic,3,Bank transfer,0
65,38.60583337344862,One year,DSL,2,Mailed check,0
34,92.55250389384238,One year,None,2,Mailed check,1
50,116.19599988302791,Two year,Fiber optic,1,Mailed check,1
36,26.72673555863697,One year,DSL,0,Mailed check,0
